start
5 = MKS-20211004-Space_Time_Pronouns_1-M
4 = MKS-20211004-Space_Time_Pronouns_1-M
Pitch object already exists
Pitch object ID is 6
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
interval #2	label: ēn	start: 26.950442944768533	end: 27.12453240029695
step #26/27	fMin: 1254.992193992605	fMax: 1285.4186830010374	fMean: 1269.7905499309104	stdev: 12.255752358250053
step #27/27	fMin: 1230.8569300597874	fMax: 1254.992193992605	fMean: 1240.962080356942	stdev: 9.247349788639156
interval #11	label: wēn	start: 33.0687565405509	end: 33.308573647656374
step #1/23	fMin: 1442.3000316777047	fMax: 1478.7985881840054	fMean: 1451.973787820113	stdev: 14.829200980479515
step #2/23	fMin: 1446.2428810832607	fMax: 1451.3729080447931	fMean: 1448.8647363016546	stdev: 2.403249258774808
step #3/23	fMin: 1447.2803594080585	fMax: 1450.738841266794	fMean: 1448.4891745933733	stdev: 1.3536934381719286
step #4/23	fMin: 1450.738841266794	fMax: 1459.8323834125	fMean: 1455.7493649863827	stdev: 3.584971823100966
step #5/23	fMin: 1459.8323834125	fMax: 1463.6712191957133	fMean: 1462.4279001426437	stdev: 1.579380840132842
step #6/23	fMin: 1463.3775176833278	fMax: 1465.4352920265883	fMean: 1464.4278177884369	stdev: 1.0442994833329133
step #7/23	fMin: 1461.791824902706	fMax: 1463.8844090266082	fMean: 1462.885151197512	stdev: 0.9621406148877044
step #8/23	fMin: 1458.685175369924	fMax: 1462.2448923027034	fMean: 1460.4810716223324	stdev: 1.5244934101150551
step #9/23	fMin: 1457.0167135953238	fMax: 1458.685175369924	fMean: 1457.603861906217	stdev: 0.7489723558779928
step #10/23	fMin: 1453.2552342768004	fMax: 1457.0167135953209	fMean: 1455.0388919916386	stdev: 1.4976477621139634
step #11/23	fMin: 1451.5421504129424	fMax: 1453.4482718341153	fMean: 1452.617652547768	stdev: 0.9559851856288611
step #12/23	fMin: 1452.3372175016982	fMax: 1453.7341275039482	fMean: 1453.166726002943	stdev: 0.8060121836079248
step #13/23	fMin: 1451.0050230748386	fMax: 1452.9810088906759	fMean: 1451.9852307586796	stdev: 0.9726788451121504
step #14/23	fMin: 1451.591523663151	fMax: 1452.8791392064397	fMean: 1452.4764853993963	stdev: 0.5485844308460969
step #15/23	fMin: 1450.5320730550436	fMax: 1451.762578001216	fMean: 1451.0573255914742	stdev: 0.5535488901889339
step #16/23	fMin: 1451.762578001216	fMax: 1452.8549194546652	fMean: 1452.2884993495252	stdev: 0.41690162207954773
step #17/23	fMin: 1452.8549194546652	fMax: 1454.4501781230788	fMean: 1453.6587728942163	stdev: 0.5792530011341853
step #18/23	fMin: 1454.2233871249186	fMax: 1457.1363930256005	fMean: 1455.0550270470221	stdev: 1.1573245600267845
step #19/23	fMin: 1457.1363930256005	fMax: 1460.297823502554	fMean: 1459.1031938342417	stdev: 1.134850021583499
step #20/23	fMin: 1460.297823502554	fMax: 1464.9567839697286	fMean: 1461.8691604171547	stdev: 1.8311230581046363
step #21/23	fMin: 1464.9567839697345	fMax: 1473.8312539568533	fMean: 1469.318573420761	stdev: 3.3324507183520375
step #22/23	fMin: 1473.8312539568533	fMax: 1488.6634082800617	fMean: 1481.1647858443666	stdev: 5.9510027217855574
step #23/23	fMin: 1488.6634082800617	fMax: 1506.0569126688474	fMean: 1496.7155675355307	stdev: 6.812852660646412
interval #12	label: wîn	start: 33.308573647656374	end: 33.54839075476185
step #1/23	fMin: 1531.955096437539	fMax: 1561.8505891948666	fMean: 1546.4644566627608	stdev: 11.816598295439977
step #2/23	fMin: 1561.8505891948666	fMax: 1605.7483720204293	fMean: 1581.3831986222597	stdev: 17.51219183979881
step #3/23	fMin: 1605.748372020462	fMax: 1648.2450734805388	fMean: 1627.8575093754484	stdev: 16.19429485077988
step #4/23	fMin: 1648.2450734805388	fMax: 1687.910378037759	fMean: 1669.4860290595595	stdev: 16.283277818435884
step #5/23	fMin: 1687.910378037759	fMax: 1717.3730492337957	fMean: 1701.5017226601783	stdev: 11.3029986643008
step #6/23	fMin: 1717.3730492337957	fMax: 1745.883265873233	fMean: 1733.5344654771673	stdev: 11.178941934332173
step #7/23	fMin: 1745.8832658732426	fMax: 1763.9301554320223	fMean: 1753.608234444619	stdev: 6.813592143446277
step #8/23	fMin: 1763.9301554320223	fMax: 1780.4079211413832	fMean: 1773.8473575913208	stdev: 6.373220417609346
step #9/23	fMin: 1780.4079211413832	fMax: 1783.7695244086235	fMean: 1782.7661147496053	stdev: 1.3383936186290777
step #10/23	fMin: 1772.0207699499783	fMax: 1782.5190630424593	fMean: 1777.9841823918557	stdev: 3.9851056134631437
step #11/23	fMin: 1754.6088001080057	fMax: 1772.0207699499783	fMean: 1763.842057096814	stdev: 6.534589513805576
step #12/23	fMin: 1728.1357857615153	fMax: 1754.6088001080057	fMean: 1742.5792283723526	stdev: 9.969179642818059
step #13/23	fMin: 1688.8767185548172	fMax: 1728.1357857615153	fMean: 1708.7031581927797	stdev: 15.5047004290593
step #14/23	fMin: 1650.1818776414584	fMax: 1688.8767185547958	fMean: 1669.2855481406646	stdev: 15.472796762587175
step #15/23	fMin: 1598.7031959162052	fMax: 1650.1818776414584	fMean: 1625.7252320529726	stdev: 20.983568756692847
step #16/23	fMin: 1559.5806519758403	fMax: 1598.7031959162052	fMean: 1577.3004334323036	stdev: 15.054956656941119
step #17/23	fMin: 1509.7651684572434	fMax: 1559.5806519758403	fMean: 1536.775604954679	stdev: 19.590667353035695
step #18/23	fMin: 1456.8915365943785	fMax: 1509.765168457209	fMean: 1482.9896402214433	stdev: 21.31514365039098
step #19/23	fMin: 1424.9378391600528	fMax: 1456.8915365943785	fMean: 1441.4197816394992	stdev: 12.651187735785212
step #20/23	fMin: 1384.9124179181122	fMax: 1424.9378391600528	fMean: 1406.5599070603994	stdev: 15.93472731097292
step #21/23	fMin: 1361.6564520430602	fMax: 1384.9124179180847	fMean: 1370.5002401376412	stdev: 8.940031288238139
step #22/23	fMin: 1336.739392691925	fMax: 1361.6564520430602	fMean: 1350.6954685881738	stdev: 10.140156232108668
step #23/23	fMin: 1307.0811087103932	fMax: 1377.693195440091	fMean: 1326.6785849063017	stdev: 27.533173292279475
interval #14	label: ū	start: 43.823758819002485	end: 43.96448694311772
step #1/14	fMin: 174.6425580385309	fMax: 179.52498469358937	fMean: 176.99459714494	stdev: 1.9321907076551048
step #2/14	fMin: 179.52498469358937	fMax: 182.41674582621278	fMean: 181.12917832644112	stdev: 1.0938720094105119
step #3/14	fMin: 182.41674582621425	fMax: 184.65231211330607	fMean: 183.6820584606222	stdev: 0.9676625796237239
step #4/14	fMin: 183.10476717089557	fMax: 184.70905172845747	fMean: 184.19619129573638	stdev: 0.6975314771278094
step #5/14	fMin: 180.13324940674863	fMax: 183.10476717089557	fMean: 181.93589905777313	stdev: 1.2010709475965717
step #6/14	fMin: 175.43822328764185	fMax: 180.13324940674863	fMean: 177.8389913356932	stdev: 1.7813737654121975
step #7/14	fMin: 171.12379635747914	fMax: 175.43822328763855	fMean: 173.29897766686955	stdev: 1.6371843739135894
step #8/14	fMin: 166.88918172215867	fMax: 171.12379635747914	fMean: 168.98807743313	stdev: 1.7017097138036257
step #9/14	fMin: 165.4796373964088	fMax: 166.88918172215867	fMean: 165.9420508584128	stdev: 0.5448334522615159
step #10/14	fMin: 165.98936144829105	fMax: 166.8558212764776	fMean: 166.4968756476564	stdev: 0.36870243932669994
step #11/14	fMin: 157.67546978688503	fMax: 167.0909607059134	fMean: 163.57279414825413	stdev: 3.5248780458663944
step #12/14	fMin: 148.63597779471047	fMax: 157.67546978688503	fMean: 152.61239179259152	stdev: 4.369987450477597
step #13/14	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #14/14	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #16	label: ù	start: 44.052704573160106	end: 44.18293059846077
step #1/13	fMin: 158.99653974895483	fMax: 163.9625872872377	fMean: 161.85189329362032	stdev: 2.8751543039747176
step #2/13	fMin: 156.68958714472424	fMax: 158.99653974895483	fMean: 157.76285550395346	stdev: 1.04119281757607
step #3/13	fMin: 154.9106779638996	fMax: 156.68958714472404	fMean: 155.69212522269106	stdev: 0.8213117907614069
step #4/13	fMin: 150.79048351605155	fMax: 154.9106779638996	fMean: 153.39887016105038	stdev: 1.5990759472379676
step #5/13	fMin: 133.53392438588037	fMax: 150.79048351605155	fMean: 142.50614208067194	stdev: 8.819096648507774
step #6/13	fMin: 149.921661401101	fMax: 162.13627633669537	fMean: 158.5130831729863	stdev: 4.629104903809208
step #7/13	fMin: 157.63209909725674	fMax: 160.52634327720634	fMean: 159.1648635143975	stdev: 1.2250638655955488
step #8/13	fMin: 160.52634327720634	fMax: 163.01373549057962	fMean: 161.75516667116116	stdev: 1.0857863819995022
step #9/13	fMin: 157.62236272364194	fMax: 162.6164764170397	fMean: 161.3510845761066	stdev: 2.047480116673209
step #10/13	fMin: 145.62372328864225	fMax: 157.62236272363361	fMean: 152.0226993271434	stdev: 4.76806768083179
step #11/13	fMin: 136.36009052544387	fMax: 145.62372328864225	fMean: 140.41235928509928	stdev: 3.6555807778743166
step #12/13	fMin: 134.41791803627277	fMax: 136.36009052544387	fMean: 134.96366421990558	stdev: 0.7425130587371723
step #13/13	fMin: 133.12389318319256	fMax: 134.55569204386214	fMean: 133.97906650585196	stdev: 0.5418970370182027
interval #18	label: ū	start: 45.71727444823173	end: 45.87690635021319
step #1/15	fMin: 158.82284320207876	fMax: 163.94703869621037	fMean: 160.94237435854757	stdev: 1.8314498612050583
step #2/15	fMin: 158.69799414579447	fMax: 164.88673527682377	fMean: 161.99568676467803	stdev: 2.2204985651862863
step #3/15	fMin: 164.1967203217462	fMax: 169.04758122498825	fMean: 166.74231149736428	stdev: 2.524460200964851
step #4/15	fMin: 169.04758122498825	fMax: 171.6671360443765	fMean: 170.78542627393367	stdev: 1.0114988796564393
step #5/15	fMin: 171.6671360443765	fMax: 172.57698778308207	fMean: 172.33165692301432	stdev: 0.3817554905026955
step #6/15	fMin: 170.60917773918894	fMax: 172.83893460916934	fMean: 171.89828697846076	stdev: 0.9993728424279473
step #7/15	fMin: 167.42054079321727	fMax: 170.60917773918752	fMean: 169.0923385605724	stdev: 1.2304716454648428
step #8/15	fMin: 164.48999000911022	fMax: 167.42054079321727	fMean: 165.64397754638156	stdev: 1.19269593956089
step #9/15	fMin: 162.7493147870641	fMax: 164.48999000911022	fMean: 163.63023983949833	stdev: 0.6333569349344955
step #10/15	fMin: 160.28106177226297	fMax: 162.74931478706273	fMean: 161.35364401056117	stdev: 0.9348243419650113
step #11/15	fMin: 158.38918076989734	fMax: 160.28106177226297	fMean: 159.45198770349364	stdev: 0.7146524797015631
