start
2 = MKS-20211020-Plants_and_Animals_4-M
1 = MKS-20211020-Plants_and_Animals_4-M
Pitch object already exists
Pitch object ID is 3
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
interval #2	label: ìín	start: 44.4978102051447	end: 44.87760138891721
step #16/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #17/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #16	label: ò	start: 74.10236382615422	end: 74.21597657343659
step #1/11	fMin: 182.6830600953982	fMax: 185.62463406056867	fMean: 184.290739980673	stdev: --undefined--
step #2/11	fMin: 177.1506538338175	fMax: 182.6830600953982	fMean: 180.14473492030135	stdev: 2.3331243514946047
step #3/11	fMin: 173.06203945373295	fMax: 177.15065383382444	fMean: 174.86244185617204	stdev: 1.5681395528989102
step #4/11	fMin: 169.9240968743308	fMax: 173.06203945373295	fMean: 171.44545765856807	stdev: 1.2186485627413595
step #5/11	fMin: 166.63445601790016	fMax: 169.9240968743308	fMean: 168.20634708945997	stdev: 1.306668515859014
step #6/11	fMin: 163.36650311877395	fMax: 166.63445601790445	fMean: 165.00962252104014	stdev: 1.3166894072687998
step #7/11	fMin: 161.05560026120716	fMax: 163.36650311877395	fMean: 161.99952735465746	stdev: 0.992848077198049
step #8/11	fMin: 159.25064648685722	fMax: 161.0556002612087	fMean: 160.2840771170045	stdev: 0.6849013463813141
step #9/11	fMin: 158.18171140006015	fMax: 159.25064648685722	fMean: 158.52475228918323	stdev: 0.5873760371428034
step #10/11	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #11/11	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #18	label: āà	start: 83.39180608802485	end: 83.58007864066421
step #1/18	fMin: 195.61523883005233	fMax: 196.7123631529012	fMean: 196.10249878664567	stdev: 0.45140034203975005
step #2/18	fMin: 194.81357893371228	fMax: 196.60425523391464	fMean: 195.95646442751786	stdev: 0.6737050244246421
step #3/18	fMin: 187.71130240046483	fMax: 194.81357893372171	fMean: 190.91134995817166	stdev: 2.826459048543559
step #4/18	fMin: 184.08650005860082	fMax: 187.71130240046483	fMean: 185.04010238023955	stdev: 1.4583504419326991
step #5/18	fMin: 180.3488254440572	fMax: 184.08650005860082	fMean: 182.38709180630676	stdev: 1.4045613101738457
