start
11 = MKS-20211011-Space_Time_Pronouns_2-M
12 = MKS-20211011-Space_Time_Pronouns_2-M
Pitch object already exists
Pitch object ID is 13
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
step #17/23	fMin: 141.24157879744956	fMax: 143.4527407086657	fMean: 142.18727853225133	stdev: 0.8354215261958257
step #18/23	fMin: 139.90205987654747	fMax: 141.24157879744956	fMean: 140.57316250268815	stdev: 0.6358393573191619
step #19/23	fMin: 136.51539201771237	fMax: 139.90205987654747	fMean: 138.21860715044568	stdev: 1.2712903199377321
step #20/23	fMin: 133.9446566568011	fMax: 136.51539201771237	fMean: 135.34635560366985	stdev: 1.082162728402388
step #21/23	fMin: 131.47511918322354	fMax: 133.9446566568011	fMean: 132.5381439200933	stdev: 1.0637928354960942
step #22/23	fMin: 124.43145970776574	fMax: 131.47511918322354	fMean: 129.36506209421051	stdev: 2.7810891920373497
step #23/23	fMin: 123.47198287683942	fMax: 125.89949710594148	fMean: 124.25978211208667	stdev: 1.0841107827795433
interval #16	label: ì	start: 261.82078044953533	end: 261.99409864046015
step #1/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #3/17	fMin: 128.2193306803202	fMax: 136.90470656247132	fMean: 135.22555204784493	stdev: 4.958265132102653
step #4/17	fMin: 116.8748129153936	fMax: 128.2193306803202	fMean: 121.47811371506528	stdev: 3.8333491107022684
step #5/17	fMin: 114.23004510412306	fMax: 116.87481291532819	fMean: 114.88194612141325	stdev: 0.9612780360402644
step #6/17	fMin: 108.64942506641712	fMax: 114.23004510412306	fMean: 111.51645418268586	stdev: 2.2004798291610603
step #7/17	fMin: 107.60778045861034	fMax: 108.64942506641712	fMean: 107.77653321244617	stdev: --undefined--
step #8/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #9/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #10/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #11/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #12/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #13/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #14/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #15/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #16/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #17/17	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #18	label: én	start: 287.1028426665405	end: 287.22543358207264
step #1/12	fMin: 232.62937625808357	fMax: 236.82822879439564	fMean: 234.073183537213	stdev: --undefined--
step #2/12	fMin: 236.82822879439564	fMax: 243.65777662353798	fMean: 239.9695858019748	stdev: 2.2547306119323376
step #3/12	fMin: 243.65777662353798	fMax: 247.92412500265783	fMean: 246.4094567842123	stdev: 1.805682782085384
step #4/12	fMin: 247.08933881020496	fMax: 250.45446519678143	fMean: 248.7418989953354	stdev: 1.2595403811144086
step #5/12	fMin: 250.4544651967975	fMax: 252.72392217462723	fMean: 251.7112433985704	stdev: 0.8774796189356409
step #6/12	fMin: 252.72392217462723	fMax: 253.51310030063155	fMean: 253.06028713648934	stdev: 0.32516763115207503
step #7/12	fMin: 253.51310030063155	fMax: 254.4649431397893	fMean: 253.9781082178569	stdev: 0.39904051499599813
step #8/12	fMin: 254.00727515319034	fMax: 254.41250233748414	fMean: 254.25385485023807	stdev: 0.1916958089693714
step #9/12	fMin: 253.99888816405328	fMax: 254.28462542304376	fMean: 254.15932145505906	stdev: 0.16206710445385186
step #10/12	fMin: 254.27342581794986	fMax: 254.8172788971976	fMean: 254.46223373393286	stdev: 0.2584993130309021
step #11/12	fMin: 254.81727889719892	fMax: 255.5688715633822	fMean: 255.10450331307484	stdev: 0.3256850304242887
step #12/12	fMin: 255.5688715633822	fMax: 256.70957193757914	fMean: 256.15083604712873	stdev: 0.5209515388048639
interval #20	label: ó	start: 287.37127449882644	end: 287.470615413137
step #1/9	fMin: 275.7884775844236	fMax: 296.0633764229056	fMean: 282.4408296681047	stdev: 8.977732819483446
step #2/9	fMin: 271.48945761153806	fMax: 275.7884775844236	fMean: 273.2929526435181	stdev: 1.6958694149028228
step #3/9	fMin: 269.3811880334625	fMax: 271.48945761153806	fMean: 270.3880519563245	stdev: 0.7655903047049769
step #4/9	fMin: 268.31992955575765	fMax: 269.3811880334625	fMean: 268.9256716235541	stdev: 0.38621717788878446
step #5/9	fMin: 263.28272979400015	fMax: 268.3199295557496	fMean: 266.5091443219149	stdev: 2.009705088757369
step #6/9	fMin: 229.25211919594483	fMax: 539.4061551887407	fMean: 375.03363275295965	stdev: 151.36087650790174
step #7/9	fMin: 487.5483621995496	fMax: 502.1619568020847	fMean: 491.18235751122813	stdev: 6.25162855731179
step #8/9	fMin: 485.8317822902215	fMax: 502.61002481745777	fMean: 493.90236897586914	stdev: 8.044053128977971
step #9/9	fMin: 471.51189976218274	fMax: 485.8317822902215	fMean: 477.006484715032	stdev: 5.5872089249940435
interval #22	label: ì	start: 287.54247905327657	end: 287.7749790654927
step #1/23	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/23	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #3/23	fMin: 172.99160213018902	fMax: 173.19129585375686	fMean: 173.12012847496058	stdev: --undefined--
step #4/23	fMin: 173.19129585375686	fMax: 181.45704740850226	fMean: 176.09399218919697	stdev: 3.2278622125426493
step #5/23	fMin: 181.4570474086156	fMax: 190.92255844060898	fMean: 188.45364270168534	stdev: 3.970248606163597
step #6/23	fMin: 187.88574738134352	fMax: 192.52794879883254	fMean: 189.68799153565516	stdev: 1.792779165478074
step #7/23	fMin: 192.52794879883254	fMax: 199.40035407560364	fMean: 197.8463331542321	stdev: 2.8848497964961966
step #8/23	fMin: 188.94235382843198	fMax: 200.78568003524592	fMean: 194.17913469317324	stdev: 5.660177135019287
step #9/23	fMin: 177.72032136932972	fMax: 190.70241538861706	fMean: 183.27617660957605	stdev: 7.240041986796629
step #10/23	fMin: 176.7643624632084	fMax: 179.1464243153159	fMean: 178.1244997862758	stdev: 1.185361107722318
step #11/23	fMin: 175.52639571081073	fMax: 179.48811013329896	fMean: 178.03730455488866	stdev: 1.5940186745132947
step #12/23	fMin: 163.84713027678185	fMax: 175.52639571081073	fMean: 170.46842645320174	stdev: 4.335031561419883
step #13/23	fMin: 156.5222964628405	fMax: 163.84713027678185	fMean: 157.68673057324216	stdev: 3.321245022509136
step #14/23	fMin: 155.7982766311949	fMax: 157.3961530374006	fMean: 156.65980751367715	stdev: 0.7271542478862771
step #15/23	fMin: 155.7172496395162	fMax: 155.7982766311949	fMean: 155.74163879750978	stdev: --undefined--
step #16/23	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #17/23	fMin: 137.93446565393904	fMax: 138.0127419601811	fMean: 137.94729124015774	stdev: --undefined--
step #18/23	fMin: 133.89167211899877	fMax: 138.65727385134124	fMean: 136.0567937813196	stdev: 2.2499663729944177
