start
7 = MKS-20211018-music_and_verbs-M
4 = MKS-20211018-music_and_verbs-M_mono
Pitch object already exists
Pitch object ID is 6
4 tiers
Tier number 1 is named IU
Tier number 2 is named word
Tier number 3 is named Vowel
Tier number 4 is named Vowel1
The vowel tier has number 3
interval #2	label: ì	start: 28.7792031355525	end: 28.8463229397771
step #11/32	fMin: 81.91910335455135	fMax: 82.6143637064844	fMean: 82.31411649522974	stdev: 0.2628677757255041
step #12/32	fMin: 80.96965914616845	fMax: 81.91910335455135	fMean: 81.41810352812209	stdev: 0.38180405464573863
step #13/32	fMin: 80.2148636163944	fMax: 80.96965914616845	fMean: 80.64513479361285	stdev: 0.29393388189988595
step #14/32	fMin: 79.44764837148635	fMax: 80.21486361639369	fMean: 79.78247077558835	stdev: 0.2956994709053652
step #15/32	fMin: 79.22182477146002	fMax: 79.44764837148635	fMean: 79.31525538496386	stdev: 0.09143702734138874
step #16/32	fMin: 79.17842314741576	fMax: 79.29398147294752	fMean: 79.21733617370471	stdev: 0.04565381188784704
step #17/32	fMin: 79.26009513648718	fMax: 79.40920927617148	fMean: 79.34383203493643	stdev: 0.07655164242163813
step #18/32	fMin: 78.29094064542011	fMax: 79.35164737278826	fMean: 78.80883695520887	stdev: 0.43074471805006387
step #19/32	fMin: 78.06738730153143	fMax: 78.29094064542011	fMean: 78.12186387948267	stdev: --undefined--
step #20/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #21/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #22/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #23/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #24/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #25/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #26/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #27/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #28/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #29/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #30/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #31/32	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
