start
9 = MKS-20211006-Memories_of_Tortilla_Making-M
8 = MKS-20211006-Memories_of_Tortilla_Making-M
Pitch object already exists
Pitch object ID is 10
2 tiers
Tier number 1 is named sentence
Tier number 2 is named vowel
The vowel tier has number 2
interval #2	label: ú	start: 6.517579255268037	end: 6.623709353701461
step #1/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #3/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #4/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #5/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #6/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #7/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #8/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #9/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #10/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #3	label: ì	start: 6.623709353701461	end: 6.8180993135967745
step #1/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #3/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #4/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #5/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #6/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #7/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #5/8	fMin: 200.2433023810334	fMax: 202.48763070158708	fMean: 201.46076256814342	stdev: 0.886266840859343
step #6/8	fMin: 202.48763070158708	fMax: 203.78724525598207	fMean: 203.21262447594617	stdev: 0.5196535752076576
step #7/8	fMin: 203.53302806236783	fMax: 203.86434946376687	fMean: 203.77888286469596	stdev: 0.11920931195213635
step #8/8	fMin: 200.80928331444218	fMax: 203.53302806236783	fMean: 202.34765342088434	stdev: 1.0515735320390203
interval #16	label: ú	start: 23.65945297650296	end: 23.761454310169285
step #1/10	fMin: 223.184619350153	fMax: 226.0906028436205	fMean: 224.10437124324267	stdev: 1.3314006973839172
step #2/10	fMin: 223.14538712760375	fMax: 224.44952029020948	fMean: 223.659071844113	stdev: 0.6455640582265298
step #3/10	fMin: 223.72598239875512	fMax: 224.55889516275678	fMean: 224.32531682479086	stdev: 0.3392667294726201
step #4/10	fMin: 223.17522207085975	fMax: 223.72598239875512	fMean: 223.3508828857989	stdev: 0.19701941421027439
step #5/10	fMin: 222.6169087754266	fMax: 223.17522207085983	fMean: 222.95635572242176	stdev: 0.2187680203119486
step #6/10	fMin: 222.51270948523143	fMax: 223.44900385298882	fMean: 222.85631482437836	stdev: 0.44353602448602564
step #7/10	fMin: 223.44900385298817	fMax: 225.35471734394864	fMean: 224.49794168934324	stdev: 0.8450077976524754
step #8/10	fMin: 225.35471734394864	fMax: 226.4663708399328	fMean: 225.94923826283866	stdev: 0.43785858331268035
step #9/10	fMin: 226.4663708399325	fMax: 228.14749616338787	fMean: 227.32300790223823	stdev: 0.6505855242861991
step #10/10	fMin: 228.14749616338787	fMax: 229.82793266199548	fMean: 229.03152366687902	stdev: 0.7015953230009475
interval #17	label: ì	start: 23.761454310169285	end: 23.94681157242314
step #1/18	fMin: 229.5094524537431	fMax: 229.8989170083381	fMean: 229.74831545655732	stdev: 0.18208238516236253
step #2/18	fMin: 229.06466204924126	fMax: 229.60438487253498	fMean: 229.38537074255208	stdev: 0.21148252544016796
step #3/18	fMin: 226.93960214696563	fMax: 229.0646620492417	fMean: 227.96274264195478	stdev: 0.9241397026263944
step #4/18	fMin: 222.33767658679238	fMax: 226.93960214696563	fMean: 225.0830973939913	stdev: 1.9387461482509174
step #5/18	fMin: 217.6692724952949	fMax: 222.3376765867942	fMean: 220.05705574733673	stdev: 1.7495777740297278
step #6/18	fMin: 214.5185039042622	fMax: 217.6692724952949	fMean: 216.00517683345618	stdev: 1.125889717165237
step #7/18	fMin: 211.1558197959307	fMax: 214.51850390426344	fMean: 212.8776915022408	stdev: 1.19832618490077
step #8/18	fMin: 205.17808977695904	fMax: 211.1558197959307	fMean: 208.21538251927217	stdev: 2.3209678522498254
step #9/18	fMin: 196.00986475113586	fMax: 205.17808977696083	fMean: 200.70957833362476	stdev: 3.8579248462836158
step #10/18	fMin: 190.196648396614	fMax: 196.00986475113586	fMean: 193.07375730050595	stdev: 2.1362289568844526
step #11/18	fMin: 177.58652250821925	fMax: 190.196648396614	fMean: 184.2961725793335	stdev: 5.297869183178872
step #12/18	fMin: 174.37264770922846	fMax: 177.58652250822166	fMean: 176.17092818730288	stdev: 1.4470664208405022
step #13/18	fMin: 165.5269927872916	fMax: 174.37264770922846	fMean: 169.63883743178894	stdev: 4.251366329252488
step #14/18	fMin: 165.5269927872916	fMax: 165.5269927872916	fMean: 165.5269927872916	stdev: --undefined--
step #15/18	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #16/18	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #17/18	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #18/18	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #19	label: áàn	start: 38.27941200320966	end: 38.499866498553
step #1/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/22	fMin: 188.03129055572248	fMax: 189.1920017047272	fMean: 188.61394793333739	stdev: 0.6890874043515539
step #3/22	fMin: 187.93696872417448	fMax: 188.20956229612906	fMean: 188.01118407590022	stdev: 0.12838061447771093
step #4/22	fMin: 186.8676581563048	fMax: 188.06748043660932	fMean: 187.3330829358172	stdev: 0.5021512520790361
step #5/22	fMin: 187.09558805708173	fMax: 187.93363092084974	fMean: 187.5930066565945	stdev: 0.38631485760588985
step #6/22	fMin: 184.3476066774785	fMax: 187.09558805708173	fMean: 185.52344718781444	stdev: 1.12156102411616
step #7/22	fMin: 182.15767755126384	fMax: 184.3476066774776	fMean: 183.37632495297692	stdev: 0.8443408768028052
step #8/22	fMin: 179.77758809187378	fMax: 182.15767755126384	fMean: 180.92436225284231	stdev: 0.9222337962855046
step #9/22	fMin: 177.0589338730027	fMax: 179.77758809187378	fMean: 178.37952046453083	stdev: 1.0813502882954253
step #10/22	fMin: 172.93688082016533	fMax: 177.0589338730012	fMean: 175.3588757646375	stdev: 1.563580827864386
step #11/22	fMin: 168.45746106230416	fMax: 172.93688082016533	fMean: 170.70151217705111	stdev: 1.8966296557804978
step #12/22	fMin: 162.2873975242085	fMax: 168.45746106230416	fMean: 165.11631259901336	stdev: 2.6223503274215516
step #13/22	fMin: 156.19178708561742	fMax: 162.2873975242085	fMean: 159.1763520805366	stdev: 2.312974497736756
step #14/22	fMin: 152.17391155891974	fMax: 156.1917870856123	fMean: 154.01681842754638	stdev: 1.7975270277737843
step #15/22	fMin: 147.42903981048985	fMax: 152.17391155891974	fMean: 150.1236873110339	stdev: 1.8069136004448296
step #16/22	fMin: 144.2860263327313	fMax: 147.42903981048985	fMean: 145.48387336261058	stdev: 1.3385935877614763
step #17/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #18/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #19/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #20/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #21/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #22/22	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #21	label: ūū	start: 41.29349747236615	end: 41.44924144420075
step #1/15	fMin: 207.86482345024604	fMax: 217.35227481460092	fMean: 210.95731057279048	stdev: 3.837599619220604
step #2/15	fMin: 203.91780840132574	fMax: 207.86482345024604	fMean: 205.58938109865895	stdev: 1.5969785514371129
step #3/15	fMin: 201.68456407792186	fMax: 203.9178084013243	fMean: 202.77249231314693	stdev: 0.9157555816981001
step #4/15	fMin: 199.8050523141968	fMax: 201.68456407792186	fMean: 200.6023874712305	stdev: 0.7702788413899253
step #5/15	fMin: 199.34221563865145	fMax: 199.8050523141968	fMean: 199.4854324145209	stdev: 0.18485370582045965
step #6/15	fMin: 198.5545086663646	fMax: 199.34221563865145	fMean: 198.93923014600782	stdev: 0.322114760282845
step #7/15	fMin: 197.06385001335818	fMax: 198.5545086663642	fMean: 197.69975228863152	stdev: 0.5900314542830383
step #8/15	fMin: 196.1534976588163	fMax: 197.06385001335818	fMean: 196.52921625046537	stdev: 0.33727990343810516
step #9/15	fMin: 195.34802311326533	fMax: 196.1534976588163	fMean: 195.65743536954844	stdev: 0.32301246652552135
step #10/15	fMin: 194.20821202908445	fMax: 195.3480231132651	fMean: 194.87983466467082	stdev: 0.42095180161589507
step #11/15	fMin: 191.91210056874792	fMax: 194.20821202908445	fMean: 193.0411497485115	stdev: 0.8700693970014252
step #12/15	fMin: 189.798644578486	fMax: 191.91210056874792	fMean: 190.90909134492927	stdev: 0.7961446716206676
step #13/15	fMin: 186.80095994629838	fMax: 189.798644578486	fMean: 188.61617977829192	stdev: 1.1985226175132633
step #14/15	fMin: 182.3932778090889	fMax: 186.80095994629568	fMean: 184.7404389708897	stdev: 1.8138934463899516
step #15/15	fMin: 178.03067743715957	fMax: 182.3932778090889	fMean: 180.11958213980827	stdev: 1.7628595775887503
interval #23	label: āā	start: 41.56988818294586	end: 41.731116097450695
step #1/16	fMin: 198.94635960227717	fMax: 217.3046561832002	fMean: 207.84835319856964	stdev: 9.469297071979344
step #2/16	fMin: 198.15430646012905	fMax: 198.94635960227717	fMean: 198.60494180619747	stdev: 0.27491454641126195
step #3/16	fMin: 195.89152716319157	fMax: 198.15430646012797	fMean: 197.19748721047694	stdev: 1.021422646223397
step #4/16	fMin: 194.15411723289577	fMax: 195.89152716319157	fMean: 194.86417189411353	stdev: 0.7240465235330709
step #5/16	fMin: 191.03061674657707	fMax: 194.15411723289577	fMean: 192.6114105240555	stdev: 1.3014305490331028
step #6/16	fMin: 188.05213648786085	fMax: 191.03061674657707	fMean: 189.44949015788112	stdev: 1.2675805409731806
step #7/16	fMin: 186.10973271043133	fMax: 188.0521364878586	fMean: 187.22825714064038	stdev: 0.7401850976517915
step #8/16	fMin: 183.78088298830306	fMax: 186.10973271043133	fMean: 184.96259517681517	stdev: 0.9164392000863403
step #9/16	fMin: 182.09751929544728	fMax: 183.78088298830306	fMean: 182.75188561157032	stdev: 0.6980164795901588
step #10/16	fMin: 181.89532709153818	fMax: 182.0975192954469	fMean: 181.9791210275061	stdev: 0.08497416742031234
step #11/16	fMin: 181.92778522856767	fMax: 182.13655589217808	fMean: 182.02606357511124	stdev: 0.09337648511201882
step #12/16	fMin: 182.0701732003652	fMax: 182.19652849356942	fMean: 182.13300702055224	stdev: 0.061802665338323626
step #13/16	fMin: 180.96326543879445	fMax: 182.0701732003652	fMean: 181.6863728198633	stdev: 0.42545595182370555
step #14/16	fMin: 180.15026457526173	fMax: 180.9632654387917	fMean: 180.51268461978634	stdev: 0.2898386344983216
step #15/16	fMin: 176.706682067107	fMax: 180.15026457526173	fMean: 178.87118981816616	stdev: 1.3957098329501176
step #16/16	fMin: 176.3431621939587	fMax: 176.9357568844104	fMean: 176.61842944477664	stdev: 0.22088150110433838
interval #25	label: ún	start: 41.783761947084926	end: 41.88795685781934
step #1/10	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/10	fMin: 182.09513498485012	fMax: 185.798391684726	fMean: 183.54765145242283	stdev: 1.7577755154308243
step #3/10	fMin: 185.7983916847282	fMax: 189.16005569561844	fMean: 187.2838535105585	stdev: 1.2033700303570607
step #4/10	fMin: 189.16005569561844	fMax: 194.44044362440445	fMean: 192.1657062396722	stdev: 2.0477900972488565
step #5/10	fMin: 194.44044362440445	fMax: 199.43469069672122	fMean: 197.1184549790125	stdev: 1.976969624617395
step #6/10	fMin: 199.43469069672122	fMax: 202.17515058342525	fMean: 201.17917185683953	stdev: 1.1335198322762912
step #7/10	fMin: 201.3559182017796	fMax: 202.1509455221622	fMean: 201.88023752476954	stdev: 0.31893602980163605
step #8/10	fMin: 200.42115482894036	fMax: 201.3559182017796	fMean: 200.81511531033405	stdev: 0.342630057797574
step #9/10	fMin: 200.45360842102377	fMax: 200.96708714183177	fMean: 200.81270769673068	stdev: 0.21900955842039319
step #10/10	fMin: 200.6386094416061	fMax: 201.46420206215825	fMean: 201.05993334529094	stdev: 0.3860181519140836
interval #27	label: ā	start: 41.94169949598762	end: 42.08537879394771
step #1/14	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/14	fMin: 204.6536136335827	fMax: 205.97350190741085	fMean: 205.157920669719	stdev: --undefined--
step #3/14	fMin: 201.0015221798748	fMax: 204.8938414645731	fMean: 202.51211220040383	stdev: 2.214057757095466
step #4/14	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #5/14	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
